content,score,at
remove the slider from the math lessons it's super annoying and how am I supposed to KNOW if it's close or not if I CANT SEE THE NUMBERS,3,2025-04-25 21:09:31
"I have so many Spanish friends and now I can speak to them easier, thanks duo!!",5,2025-04-25 21:06:58
Great... Just. Uhh great yes it is very *click* NOICE,5,2025-04-25 21:06:15
best app ever 👍 👍 😁,5,2025-04-25 21:03:09
immersive,5,2025-04-25 21:03:06
"The app has been more glitchy lately, not giving bonus chests when it should, especially with the duo max trial. It's making me not want to study Spanish...",1,2025-04-25 21:03:05
I love it,5,2025-04-25 21:00:47
Το λατρεύω!!!,5,2025-04-25 21:00:46
we need ICELANDIC,1,2025-04-25 21:00:02
"MY FAVORITE APP, IT WORKS VERY WELL, I LOVE IT, ❤️❤️❤️❤️❤️",5,2025-04-25 20:55:54
I am learning french it seems so good if you want to learn more download,3,2025-04-25 20:55:00
it's simpler and easier to learn using the app,5,2025-04-25 20:54:03
I learned Germany!,5,2025-04-25 20:46:09
it's nice application 100/💯,5,2025-04-25 20:45:31
Gorgeous!!!! I'm learning vietnamese!!! It is so much fun!,5,2025-04-25 20:41:10
"Doulingo isn't that bad yes it s teaches you different languages, but if you mess up your streak you'll get reminders about your lessons.",5,2025-04-25 20:40:59
very good app,5,2025-04-25 20:40:15
helpfully,5,2025-04-25 20:38:44
"good app like doulingo teaching languages, why it should teach about bisexuality. its not good to oblige people to read stories about this disgusting behaviour. sure i will make unsubscribe.",1,2025-04-25 20:38:22
not bad,4,2025-04-25 20:37:50
"Really fun and great experience. Teaches perfectly, although the classes glitch at times. Love the characters, has a great way to remember your classes.❤️",4,2025-04-25 20:36:53
hi duolingo 💕💕💕💕,5,2025-04-25 20:36:50
am really learning Korean fast and plus it's free and it really helps me learn how to speak Korean language,5,2025-04-25 20:31:22
really good,4,2025-04-25 20:30:18
내가 좋아하는 이고 앞프,5,2025-04-25 20:29:20
أنا اتعلم الاسبانية بسرعة,5,2025-04-25 20:29:02
Danke,4,2025-04-25 20:28:05
very good 😊💯,5,2025-04-25 20:24:51
An excellent self learning app,4,2025-04-25 20:24:42
The best app to learn other languages <3,5,2025-04-25 20:23:56
"what the actual sigma, why do i have to spend gems to do lessons? and ads also appeared, this is getting bad. i didn't buy anything but had infinite hearts, but they disappeared :( (i didn't lose my streak). I like the different ways to learn a language you add like games, stories or radio. I haven't tried learning music and math is too easy. I want more, like programming or other school subjects!",4,2025-04-25 20:22:46
"Got a 3 minute unskippable add for some dumb Kingdom game. I get you need ads to keep it free, but don't keep me sat there for 3 minutes whilst I was someone play ""the hardest level"". Seems like a forced way to make people pay to remove ads!",1,2025-04-25 20:20:44
This app is essential for any student..,5,2025-04-25 20:20:19
loved ittt!! 😋,5,2025-04-25 20:17:04
احلا برنامج اتعلمت بسرعه يستاهل خمس نجوم ولله,5,2025-04-25 20:16:32
this app is so buggy. i got to the end of unit 4 in Chinese but can't complete the unit because the end of unit test is broken. the UI elements can't be clicked. so that's it. the course can't be continued. loaded it multiple times. always the same.,1,2025-04-25 20:15:36
it's really good Im still doing lesson but it helps with a lot and I'm making progress with Spanish and I would recommend 50 days so that way you would know more word than 1 or 2 words.,5,2025-04-25 20:14:45
it has improved my French and helped me learn new words,5,2025-04-25 20:11:50
"just started learning Japanese, and I can already tell that it is a well put together program.",5,2025-04-25 20:11:45
"It's been a while I use duo, the wise and fun owl, learning English. A couple of days ago, I saw a lot of differences made upon my course ( Chinese). A lot of lessons are added, as completed units, despite the fact that I have never done them before. This has really let me down... I really did lose my passion, I see a lot of things covered, which actually are not....",4,2025-04-25 20:10:22
I would do 5 stars but I made an account kept on sending me to level one so I'm deleting it and re-downloading it I'm not going to make account and see if this works,4,2025-04-25 20:08:22
😍😍😍,5,2025-04-25 20:08:02
eh good enough,5,2025-04-25 20:06:58
well done my first 5 star rating feedback 😍,5,2025-04-25 20:06:38
thank you,5,2025-04-25 20:05:40
"Very good, it is a nice app.",5,2025-04-25 20:04:53
Meaningful to me,5,2025-04-25 20:04:00
